# Every word the player reads, one row per line of text.
#
#   key    what the code and the .wa files name. Never change one without changing its callers.
#   where  where it shows, for whoever translates it.
#   fr     the French text. Each further column is a language, named in the header row below.
#
# Read by jks.index.Index_Text. Tab-separated: a tab ends a cell, so a cell cannot hold one.
# In a cell, \n is a line break. {WAVE}...{ENDWAVE}, {COLOR=...} and the like are TextraTypist
# markup - keep them around the translated word. A line starting with # is a comment.
# A text missing in a language falls back to fr; a key missing altogether shows the key itself.
#
# Accents: a row marked [title face] is drawn in OptimusPrinceps, which has no é è à â ç and
# no usable É (doubt d8) - write those without accents, in every language. TextTableTest checks.
# Everything else is GeosansLight and takes accents.

key	where	fr
# Ross says these when the item is clicked (r74) - edit them in the line lab:
#   ./gradlew :desktop:runGame -Donboard.start=line_lab
wa2.tableau.click	Carriage 2, tableau.png clicked, bubble by Ross for a few seconds	Le paternel, en uniforme. Même en peinture, il me juge.
wa2.clope.click	Carriage 2, clope.png clicked, bubble by Ross for a few seconds	Mes clopes. Une dernière, pour la route ?
wa2.couteauSocle.click	Carriage 2, couteauSocle.png clicked, bubble by Ross for a few seconds	Le couteau de collection du vieux. « Pas touche », qu'il disait.
wa2.crayon.click	Carriage 2, crayon.png clicked, bubble by Ross for a few seconds	Des crayons de couleur. De quoi égayer n'importe quelle tronche.
wa2.poubelle.click	Carriage 2, poubelle.png clicked, bubble by Ross for a few seconds	Une poubelle. C'est là que finissent les mauvaises habitudes.
wa2.dossierPolice.click	Carriage 2, dossierPolice.png clicked, bubble by Ross for a few seconds	Mon dossier de police. Ils ont écrit un roman sur moi, on dirait.

# == Carriage 3 ============================================================
# Ross thinks these in the bubble while the mouse is on a piece of the key.
wa3.hint1	Carriage 3, thought bubble on key piece 1	Si les gens savait ce qui c'est passé ici. Je dois retranscrire tout ce que j'ai vu. \nJ'espère que le monde n'oublira jamais
wa3.hint2	Carriage 3, thought bubble on key piece 2	Ma douce Diana me manques, je devrais vraiment lui envoyer un signe de vie
wa3.hint3	Carriage 3, thought bubble on key piece 3	Le trou dans ce mur semble bien étrange. Je pourrais le fixer… ou le finir.
# Ross says these when the item is clicked (r74) - edit them in the line lab:
#   ./gradlew :desktop:runGame -Donboard.start=line_lab
wa3.trou.click	Carriage 3, trou.png clicked, bubble by Ross for a few seconds	Un trou dans le mur. Quelque chose est passé par là.
wa3.porteTrou.click	Carriage 3, porteTrou.png clicked, bubble by Ross for a few seconds	Un morceau de mur. Il a à peu près la forme du trou.
wa3.grenade.click	Carriage 3, grenade.png clicked, bubble by Ross for a few seconds	Une grenade. Mieux vaut la tenir loin de moi.
wa3.lettreAmour.click	Carriage 3, lettreAmour.png clicked, bubble by Ross for a few seconds	Une lettre pour Diana. Je ne l'ai jamais envoyée.
wa3.appareil.click	Carriage 3, appareil.png clicked, bubble by Ross for a few seconds	Mon appareil photo. Il a vu plus de choses que moi.
wa3.chapeau.click	Carriage 3, chapeau.png clicked, bubble by Ross for a few seconds	Mon vieux chapeau. Il a connu des jours meilleurs.
wa3.boite.click	Carriage 3, boite.png clicked, bubble by Ross for a few seconds	Une boîte aux lettres. Il paraît que le courrier passe encore.

# == Carriage 4 ============================================================
# Ross thinks these in the bubble while the mouse is on a piece of the key.
wa4.hint1	Carriage 4, thought bubble on key piece 1	Ca fait changement de prendre des photos de la vie plutôt que la mort
wa4.hint2	Carriage 4, thought bubble on key piece 2	Il est tellement jolie le hochet. Il manque quelque chose par contre ...
wa4.hint3	Carriage 4, thought bubble on key piece 3	J'ai la gorge sèche et le coeur qui s'agite. Je devrais boire quelque chose avant de partir... 
# Ross says these when the item is clicked (r74) - edit them in the line lab:
#   ./gradlew :desktop:runGame -Donboard.start=line_lab
wa4.cadre.click	Carriage 4, cadre.png clicked, bubble by Ross for a few seconds	Ma femme, et le bébé qui arrive. Le plus beau portrait que j'ai fait.
wa4.cruche.click	Carriage 4, cruche.png clicked, bubble by Ross for a few seconds	Une cruche d'eau fraîche. Rien de plus simple.
wa4.hochet.click	Carriage 4, hochet.png clicked, bubble by Ross for a few seconds	Le hochet du petit. Il a l'air un peu nu.
wa4.verre.click	Carriage 4, verre.png clicked, bubble by Ross for a few seconds	Un verre vide. Il attend que je décide quoi y verser.
wa4.wisky.click	Carriage 4, wisky.png clicked, bubble by Ross for a few seconds	Une bouteille de whisky. Une vieille amie... de trop.
wa4.papier.click	Carriage 4, papier.png clicked, bubble by Ross for a few seconds	Du papier cadeau et un ruban. De quoi emballer quelque chose de joli.

# == Ending ================================================================
# The card the story closes on (ClosureMessage), drawn in GeosansLight.
ending.opening1	Ending card, line 1, both endings	La cage, le portrait, le mur, la bouteille :
ending.opening2	Ending card, line 2, both endings	quatre fois l'occasion d'ouvrir.
ending.tally.never	Ending card, line 3, karma 0	Ross ne l'a jamais prise.
ending.tally.some	Ending card, line 3, karma 1 to 3 - {0} is the count below	Ross l'a prise {0} fois sur quatre.
ending.tally.always	Ending card, line 3, karma 4	Ross l'a prise à chaque fois.
ending.count.1	Ending card, the {0} of ending.tally.some (une fois)	une
ending.count.2	Ending card, the {0} of ending.tally.some	deux
ending.count.3	Ending card, the {0} of ending.tally.some	trois
ending.stayed1	Ending card, line 5, he stayed	Cette fois, il a refermé la porte.
ending.stayed2	Ending card, line 6, he stayed	Le billet de 9 h 30 est resté en morceaux par terre.
ending.left1	Ending card, line 5, he left	Il a ouvert la porte, aussi.
ending.left2	Ending card, line 6, he left	Le 9 h 30 est parti à l'heure, et il était dedans.
ending.end	Ending card, under the message, larger	FIN
